token,decimals
0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,18
0x514910771af9ca656af840dff83e8264ecf986ca,18
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,18
0xD6DF932A45C0f255f85145f286eA0b292B21C90B,18
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,6
0x39aa39c021dfbae8fac545936693ac917d5e7563,8
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,18
0x430EF9263E76DAE63c84292C3409D61c598E9682,18
0xc2132D05D31c914a87C6611C10748AEb04B58e8F,6
0x22a31bD4cB694433B6de19e0aCC2899E553e9481,18
0xE6469Ba6D2fD6130788E0eA9C0a0515900563b59,6
0x6f8a06447Ff6FcF75d803135a7de15CE88C1d4ec,18
0x831753DD7087CaC61aB5644b308642cc1c33Dc13,18
0x723b17718289a91af252d616de2c77944962d122,18
